banking marketing,,,,,,,,,,,,,,,,,,
customer id and age.,,Customer salary and balance.,,Customer marital status and job with education level.,,particular customer before targeted or not,,Loan types: loans or housing loans,,Contact type,,month of contact,duration of call,,,,outcome of previous contact,response of customer after call happned
1047,23,100000,2605,single,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",278 sec,6,-1,0,unknown,no
1048,30,60000,60,single,"technician,tertiary",no,no,yes,yes,unknown,7,"may, 2017",306 sec,5,-1,0,unknown,no
1049,51,100000,98,married,"management,primary",yes,no,yes,no,unknown,7,"may, 2017",114 sec,2,-1,0,unknown,no
1050,52,60000,-181,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",94 sec,2,-1,0,unknown,no
1051,45,60000,118,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",208 sec,2,-1,0,unknown,no
1052,41,20000,-15,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",169 sec,2,-1,0,unknown,no
1053,27,4000,671,single,"student,secondary",yes,no,yes,no,unknown,7,"may, 2017",332 sec,2,-1,0,unknown,no
1054,50,20000,1557,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",263 sec,6,-1,0,unknown,no
1055,36,20000,-20,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",353 sec,3,-1,0,unknown,no
1056,46,20000,323,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",108 sec,6,-1,0,unknown,no
1057,44,20000,-171,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",441 sec,2,-1,0,unknown,no
1058,47,20000,438,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",46 sec,3,-1,0,unknown,no
1059,40,20000,316,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",266 sec,2,-1,0,unknown,no
1060,36,70000,174,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",223 sec,2,-1,0,unknown,no
1061,46,20000,442,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",105 sec,2,-1,0,unknown,no
1062,58,60000,786,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",165 sec,3,-1,0,unknown,no
1063,30,60000,-317,divorced,"technician,tertiary",no,no,yes,no,unknown,7,"may, 2017",381 sec,2,-1,0,unknown,no
1064,43,20000,667,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",228 sec,3,-1,0,unknown,no
1065,29,70000,-158,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",128 sec,2,-1,0,unknown,no
1066,41,100000,72,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",764 sec,3,-1,0,unknown,no
1067,44,120000,58,married,"entrepreneur,primary",yes,no,yes,no,unknown,7,"may, 2017",113 sec,3,-1,0,unknown,no
1068,44,70000,396,divorced,"services,secondary",yes,no,yes,yes,unknown,7,"may, 2017",396 sec,4,-1,0,unknown,no
1069,59,20000,10,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",133 sec,3,-1,0,unknown,no
1070,39,100000,2887,single,"management,unknown",no,no,yes,no,unknown,7,"may, 2017",42 sec,2,-1,0,unknown,no
1071,42,100000,0,married,"management,secondary",yes,no,no,no,unknown,7,"may, 2017",234 sec,4,-1,0,unknown,no
1072,31,50000,89,married,"admin.,secondary",yes,no,no,no,unknown,7,"may, 2017",297 sec,3,-1,0,unknown,no
1073,29,0,50,single,"unknown,primary",yes,no,yes,no,unknown,7,"may, 2017",50 sec,2,-1,0,unknown,no
1074,39,20000,29,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",214 sec,2,-1,0,unknown,no
1075,44,20000,420,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",110 sec,2,-1,0,unknown,no
1076,49,70000,114,single,"services,primary",yes,no,yes,no,unknown,7,"may, 2017",99 sec,2,-1,0,unknown,no
1077,39,16000,365,married,"housemaid,secondary",yes,no,yes,no,unknown,7,"may, 2017",274 sec,4,-1,0,unknown,no
1078,27,20000,0,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",191 sec,4,-1,0,unknown,no
1079,56,100000,-24,married,"management,primary",yes,no,yes,no,unknown,7,"may, 2017",305 sec,3,-1,0,unknown,no
1080,43,60000,743,married,"technician,tertiary",yes,no,yes,no,unknown,7,"may, 2017",134 sec,2,-1,0,unknown,no
1081,37,60000,0,married,"self-employed,primary",yes,no,no,no,unknown,7,"may, 2017",112 sec,4,-1,0,unknown,no
1082,54,60000,99,single,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",283 sec,3,-1,0,unknown,no
1083,38,20000,22,married,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",353 sec,4,-1,0,unknown,no
1084,31,20000,251,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",212 sec,2,-1,0,unknown,no
1085,34,20000,615,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",225 sec,2,-1,0,unknown,no
1086,35,50000,136,married,"admin.,primary",yes,no,yes,no,unknown,7,"may, 2017",283 sec,1,-1,0,unknown,no
1087,44,20000,2167,single,"blue-collar,unknown",no,no,yes,no,unknown,7,"may, 2017",1273 sec,1,-1,0,unknown,no
1088,30,20000,309,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",1574 sec,2,-1,0,unknown,yes
1089,51,60000,221,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",139 sec,3,-1,0,unknown,no
1090,37,20000,321,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",228 sec,2,-1,0,unknown,no
1091,39,20000,-33,married,"blue-collar,tertiary",yes,no,yes,no,unknown,7,"may, 2017",62 sec,5,-1,0,unknown,no
1092,33,100000,76,single,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",256 sec,3,-1,0,unknown,no
1093,37,100000,42,divorced,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",564 sec,3,-1,0,unknown,no
1094,46,20000,76,single,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",245 sec,2,-1,0,unknown,no
1095,32,50000,1293,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",161 sec,2,-1,0,unknown,no
1096,43,120000,526,married,"entrepreneur,primary",yes,no,yes,no,unknown,7,"may, 2017",79 sec,4,-1,0,unknown,no
1097,59,16000,873,divorced,"housemaid,unknown",no,no,yes,no,unknown,7,"may, 2017",152 sec,3,-1,0,unknown,no
1098,46,50000,40,married,"admin.,primary",yes,no,yes,no,unknown,7,"may, 2017",591 sec,3,-1,0,unknown,no
1099,47,20000,117,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",113 sec,2,-1,0,unknown,no
1100,31,70000,671,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",193 sec,3,-1,0,unknown,no
1101,30,20000,145,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",299 sec,2,-1,0,unknown,no
1102,38,20000,1807,married,"blue-collar,primary",yes,no,no,no,unknown,7,"may, 2017",348 sec,3,-1,0,unknown,no
1103,44,20000,-212,single,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",103 sec,4,-1,0,unknown,no
1104,52,60000,133,married,"technician,unknown",no,no,yes,no,unknown,7,"may, 2017",253 sec,8,-1,0,unknown,no
1105,29,70000,566,single,"services,secondary",yes,no,no,no,unknown,7,"may, 2017",127 sec,2,-1,0,unknown,no
1106,43,50000,1924,married,"admin.,tertiary",yes,no,yes,no,unknown,7,"may, 2017",244 sec,7,-1,0,unknown,no
1107,47,60000,145,married,"technician,primary",yes,no,yes,no,unknown,7,"may, 2017",157 sec,6,-1,0,unknown,no
1108,43,20000,487,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",548 sec,2,-1,0,unknown,no
1109,52,20000,-57,divorced,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",114 sec,3,-1,0,unknown,no
1110,32,70000,81,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",126 sec,5,-1,0,unknown,no
1111,40,50000,-227,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",161 sec,3,-1,0,unknown,no
1112,57,60000,2710,divorced,"technician,secondary",yes,no,yes,yes,unknown,7,"may, 2017",333 sec,1,-1,0,unknown,no
1113,30,70000,98,divorced,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",155 sec,1,-1,0,unknown,no
1114,48,20000,1230,married,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",152 sec,3,-1,0,unknown,no
1115,46,20000,78,married,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",145 sec,1,-1,0,unknown,no
1116,59,55000,137,divorced,"retired,primary",yes,no,yes,yes,unknown,7,"may, 2017",66 sec,3,-1,0,unknown,no
1117,50,20000,354,married,"blue-collar,primary",yes,yes,yes,no,unknown,7,"may, 2017",123 sec,2,-1,0,unknown,no
1118,50,20000,149,divorced,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",74 sec,1,-1,0,unknown,no
1119,33,20000,126,divorced,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",248 sec,3,-1,0,unknown,no
1120,39,60000,0,single,"technician,unknown",no,no,yes,no,unknown,7,"may, 2017",130 sec,1,-1,0,unknown,no
1121,57,55000,8266,divorced,"retired,secondary",yes,no,yes,no,unknown,7,"may, 2017",71 sec,1,-1,0,unknown,no
1122,49,20000,51,married,"blue-collar,unknown",no,no,yes,no,unknown,7,"may, 2017",984 sec,1,-1,0,unknown,no
1123,41,20000,258,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",252 sec,1,-1,0,unknown,no
1124,43,60000,117,married,"technician,primary",yes,no,yes,no,unknown,7,"may, 2017",84 sec,2,-1,0,unknown,no
1125,29,100000,199,married,"management,tertiary",yes,no,yes,yes,unknown,7,"may, 2017",1689 sec,4,-1,0,unknown,yes
1126,56,70000,219,married,"services,primary",yes,no,yes,no,unknown,7,"may, 2017",130 sec,4,-1,0,unknown,no
1127,46,60000,1571,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",489 sec,2,-1,0,unknown,no
1128,42,20000,223,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",41 sec,3,-1,0,unknown,no
1129,36,20000,-79,married,"blue-collar,primary",yes,no,no,no,unknown,7,"may, 2017",159 sec,3,-1,0,unknown,no
1130,29,70000,321,married,"services,primary",yes,no,yes,no,unknown,7,"may, 2017",196 sec,2,-1,0,unknown,no
1131,43,50000,2527,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",276 sec,4,-1,0,unknown,no
1132,48,50000,5,married,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",697 sec,2,-1,0,unknown,no
1133,38,20000,20,single,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",81 sec,2,-1,0,unknown,no
1134,46,20000,1045,married,"blue-collar,secondary",yes,no,yes,yes,unknown,7,"may, 2017",149 sec,1,-1,0,unknown,no
1135,44,20000,1,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",281 sec,2,-1,0,unknown,no
1136,28,100000,3,married,"management,tertiary",yes,no,yes,no,unknown,7,"may, 2017",122 sec,5,-1,0,unknown,no
1137,28,20000,-55,married,"blue-collar,primary",yes,no,yes,no,unknown,7,"may, 2017",361 sec,2,-1,0,unknown,no
1138,36,60000,141,divorced,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",319 sec,3,-1,0,unknown,no
1139,37,20000,374,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",944 sec,3,-1,0,unknown,no
1140,56,100000,93,married,"management,primary",yes,no,yes,no,unknown,7,"may, 2017",282 sec,2,-1,0,unknown,no
1141,46,20000,460,single,"blue-collar,tertiary",no,no,yes,no,unknown,7,"may, 2017",1102 sec,2,-1,0,unknown,yes
1142,34,70000,78,divorced,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",35 sec,3,-1,0,unknown,no
1143,32,120000,135,married,"entrepreneur,secondary",yes,no,yes,no,unknown,7,"may, 2017",143 sec,2,-1,0,unknown,no
1144,33,60000,367,married,"technician,secondary",yes,no,yes,yes,unknown,7,"may, 2017",22 sec,2,-1,0,unknown,no
1145,36,70000,248,single,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",90 sec,2,-1,0,unknown,no
1146,35,70000,630,married,"services,secondary",yes,no,yes,no,unknown,7,"may, 2017",17 sec,2,-1,0,unknown,no
1147,44,50000,-30,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",404 sec,5,-1,0,unknown,no
1148,37,60000,157,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",238 sec,2,-1,0,unknown,no
1149,48,50000,268,divorced,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",71 sec,4,-1,0,unknown,no
1150,38,20000,164,married,"blue-collar,secondary",yes,no,yes,no,unknown,7,"may, 2017",309 sec,2,-1,0,unknown,no
1151,44,60000,-97,married,"technician,secondary",yes,no,yes,no,unknown,7,"may, 2017",408 sec,3,-1,0,unknown,no
1152,31,50000,53,divorced,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",128 sec,4,-1,0,unknown,no
1153,35,100000,788,divorced,"management,tertiary",no,no,yes,no,unknown,7,"may, 2017",297 sec,3,-1,0,unknown,no
1154,54,60000,1904,divorced,"technician,secondary",yes,no,yes,yes,unknown,7,"may, 2017",280 sec,3,-1,0,unknown,no
1155,28,50000,260,single,"admin.,secondary",yes,no,yes,no,unknown,7,"may, 2017",374 sec,2,-1,0,unknown,no
1156,38,8000,447,married,"unemployed,primary",yes,no,yes,no,unknown,7,"may, 2017",365 sec,4,-1,0,unknown,no
1157,48,60000,720,married,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",177 sec,3,-1,0,unknown,no
1158,31,20000,2827,married,"blue-collar,tertiary",yes,no,yes,no,unknown,8,"may, 2017",238 sec,3,-1,0,unknown,no
1159,59,55000,0,married,"retired,unknown",no,no,no,no,unknown,8,"may, 2017",425 sec,6,-1,0,unknown,no
1160,29,50000,1117,single,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",77 sec,2,-1,0,unknown,no
1161,28,20000,597,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",223 sec,2,-1,0,unknown,no
1162,50,20000,362,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",201 sec,2,-1,0,unknown,no
1163,31,60000,120,single,"self-employed,tertiary",no,no,yes,no,unknown,8,"may, 2017",239 sec,2,-1,0,unknown,no
1164,32,50000,89,single,"admin.,secondary",yes,no,yes,yes,unknown,8,"may, 2017",308 sec,3,-1,0,unknown,no
1165,30,70000,442,married,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",137 sec,2,-1,0,unknown,no
1166,32,100000,111,single,"management,tertiary",no,no,yes,no,unknown,8,"may, 2017",162 sec,2,-1,0,unknown,no
1167,29,60000,247,single,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",134 sec,1,-1,0,unknown,no
1168,30,50000,1,divorced,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",175 sec,5,-1,0,unknown,no
1169,34,100000,6,married,"management,primary",yes,no,yes,no,unknown,8,"may, 2017",125 sec,3,-1,0,unknown,no
1170,34,20000,-947,single,"blue-collar,secondary",yes,yes,yes,no,unknown,8,"may, 2017",211 sec,3,-1,0,unknown,no
1171,41,20000,191,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",67 sec,1,-1,0,unknown,no
1172,36,20000,-147,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",156 sec,1,-1,0,unknown,no
1173,31,60000,703,single,"technician,tertiary",no,no,yes,no,unknown,8,"may, 2017",943 sec,2,-1,0,unknown,yes
1174,39,20000,70,married,"blue-collar,primary",yes,no,no,no,unknown,8,"may, 2017",813 sec,1,-1,0,unknown,yes
1175,36,60000,83,married,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",178 sec,1,-1,0,unknown,no
1176,39,20000,125,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",142 sec,1,-1,0,unknown,no
1177,37,20000,190,married,"blue-collar,primary",yes,no,yes,yes,unknown,8,"may, 2017",194 sec,1,-1,0,unknown,no
1178,52,20000,46,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",132 sec,1,-1,0,unknown,no
1179,25,100000,1348,single,"management,tertiary",no,no,yes,no,unknown,8,"may, 2017",109 sec,1,-1,0,unknown,no
1180,42,60000,420,married,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",94 sec,1,-1,0,unknown,no
1181,27,70000,96,divorced,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",31 sec,1,-1,0,unknown,no
1182,42,20000,271,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",84 sec,4,-1,0,unknown,no
1183,29,50000,1320,divorced,"admin.,secondary",yes,no,yes,yes,unknown,8,"may, 2017",489 sec,1,-1,0,unknown,no
1184,38,20000,54,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",180 sec,1,-1,0,unknown,no
1185,42,120000,198,married,"entrepreneur,primary",yes,no,yes,no,unknown,8,"may, 2017",314 sec,1,-1,0,unknown,no
1186,35,60000,1094,married,"self-employed,primary",yes,no,yes,no,unknown,8,"may, 2017",207 sec,1,-1,0,unknown,no
1187,41,100000,141,married,"management,tertiary",yes,no,yes,yes,unknown,8,"may, 2017",146 sec,3,-1,0,unknown,no
1188,57,55000,207,married,"retired,primary",yes,no,yes,no,unknown,8,"may, 2017",193 sec,1,-1,0,unknown,no
1189,36,20000,-206,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",177 sec,2,-1,0,unknown,no
1190,56,100000,177,divorced,"management,tertiary",no,no,yes,no,unknown,8,"may, 2017",1040 sec,1,-1,0,unknown,no
1191,33,20000,176,divorced,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",622 sec,1,-1,0,unknown,no
1192,41,120000,-413,divorced,"entrepreneur,tertiary",no,no,yes,no,unknown,8,"may, 2017",170 sec,2,-1,0,unknown,no
1193,33,20000,-81,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",267 sec,1,-1,0,unknown,no
1194,35,100000,3837,divorced,"management,tertiary",no,no,yes,no,unknown,8,"may, 2017",1084 sec,1,-1,0,unknown,yes
1195,43,100000,870,married,"management,tertiary",yes,no,yes,yes,unknown,8,"may, 2017",528 sec,1,-1,0,unknown,no
1196,36,50000,206,single,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",183 sec,1,-1,0,unknown,no
1197,37,60000,316,married,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",238 sec,1,-1,0,unknown,no
1198,51,100000,57,married,"management,primary",yes,yes,yes,yes,unknown,8,"may, 2017",61 sec,1,-1,0,unknown,no
1199,28,16000,1,divorced,"housemaid,primary",yes,no,yes,no,unknown,8,"may, 2017",923 sec,1,-1,0,unknown,no
1200,43,20000,-7,married,"blue-collar,secondary",yes,yes,no,no,unknown,8,"may, 2017",70 sec,1,-1,0,unknown,no
1201,32,20000,611,single,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",541 sec,3,-1,0,unknown,yes
1202,36,120000,157,single,"entrepreneur,secondary",yes,no,yes,no,unknown,8,"may, 2017",41 sec,1,-1,0,unknown,no
1203,33,8000,233,single,"unemployed,secondary",yes,no,yes,no,unknown,8,"may, 2017",221 sec,4,-1,0,unknown,no
1204,39,50000,419,married,"admin.,secondary",yes,no,yes,yes,unknown,8,"may, 2017",35 sec,1,-1,0,unknown,no
1205,28,20000,134,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",262 sec,1,-1,0,unknown,no
1206,26,60000,2087,single,"technician,secondary",yes,no,no,no,unknown,8,"may, 2017",151 sec,1,-1,0,unknown,no
1207,40,60000,103,married,"technician,tertiary",yes,no,yes,no,unknown,8,"may, 2017",135 sec,2,-1,0,unknown,no
1208,44,16000,281,married,"housemaid,secondary",yes,no,yes,no,unknown,8,"may, 2017",604 sec,1,-1,0,unknown,no
1209,34,100000,133,married,"management,tertiary",yes,no,yes,no,unknown,8,"may, 2017",65 sec,1,-1,0,unknown,no
1210,47,20000,1865,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",380 sec,3,-1,0,unknown,no
1211,55,20000,325,single,"blue-collar,tertiary",no,no,yes,no,unknown,8,"may, 2017",693 sec,1,-1,0,unknown,no
1212,48,20000,-18,divorced,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",11 sec,1,-1,0,unknown,no
1213,36,20000,49,single,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",405 sec,1,-1,0,unknown,no
1214,31,100000,7444,single,"management,tertiary",no,no,yes,yes,unknown,8,"may, 2017",20 sec,1,-1,0,unknown,no
1215,30,100000,59,single,"management,tertiary",no,no,yes,yes,unknown,8,"may, 2017",202 sec,1,-1,0,unknown,no
1216,46,20000,45,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",235 sec,1,-1,0,unknown,no
1217,30,50000,387,single,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",75 sec,1,-1,0,unknown,no
1218,32,20000,5,single,"blue-collar,secondary",yes,no,yes,yes,unknown,8,"may, 2017",134 sec,1,-1,0,unknown,no
1219,48,20000,71,single,"blue-collar,unknown",no,no,yes,no,unknown,8,"may, 2017",101 sec,2,-1,0,unknown,no
1220,48,50000,96,single,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",255 sec,1,-1,0,unknown,no
1221,36,70000,72,single,"services,tertiary",no,no,yes,no,unknown,8,"may, 2017",80 sec,1,-1,0,unknown,no
1222,41,50000,1715,single,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",462 sec,1,-1,0,unknown,no
1223,49,50000,181,single,"admin.,primary",yes,no,yes,no,unknown,8,"may, 2017",161 sec,3,-1,0,unknown,no
1224,26,20000,20,married,"blue-collar,secondary",yes,yes,yes,no,unknown,8,"may, 2017",200 sec,1,-1,0,unknown,no
1225,38,100000,65,married,"management,secondary",yes,no,yes,no,unknown,8,"may, 2017",56 sec,1,-1,0,unknown,no
1226,27,4000,81,single,"student,secondary",yes,no,yes,no,unknown,8,"may, 2017",238 sec,1,-1,0,unknown,no
1227,51,55000,226,married,"retired,secondary",yes,no,yes,yes,unknown,8,"may, 2017",418 sec,1,-1,0,unknown,no
1228,33,50000,1128,divorced,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",139 sec,2,-1,0,unknown,no
1229,53,8000,582,married,"unemployed,secondary",yes,no,yes,no,unknown,8,"may, 2017",96 sec,2,-1,0,unknown,no
1230,36,60000,5611,married,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",39 sec,1,-1,0,unknown,no
1231,48,60000,177,divorced,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",471 sec,1,-1,0,unknown,no
1232,27,50000,181,single,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",231 sec,2,-1,0,unknown,no
1233,42,60000,0,married,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",66 sec,2,-1,0,unknown,no
1234,61,20000,734,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",204 sec,1,-1,0,unknown,no
1235,31,60000,322,married,"self-employed,tertiary",yes,no,yes,no,unknown,8,"may, 2017",159 sec,1,-1,0,unknown,no
1236,37,20000,134,single,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",200 sec,1,-1,0,unknown,no
1237,34,120000,10350,married,"entrepreneur,tertiary",yes,no,yes,no,unknown,8,"may, 2017",187 sec,3,-1,0,unknown,no
1238,55,60000,84,married,"technician,unknown",no,no,yes,no,unknown,8,"may, 2017",166 sec,1,-1,0,unknown,no
1239,24,70000,620,married,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",144 sec,1,-1,0,unknown,no
1240,41,60000,254,married,"technician,unknown",no,no,yes,no,unknown,8,"may, 2017",690 sec,1,-1,0,unknown,no
1241,34,20000,0,single,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",323 sec,1,-1,0,unknown,no
1242,29,20000,5903,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",194 sec,1,-1,0,unknown,no
1243,42,20000,134,single,"blue-collar,primary",yes,no,yes,yes,unknown,8,"may, 2017",82 sec,1,-1,0,unknown,no
1244,45,70000,1381,married,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",269 sec,1,-1,0,unknown,no
1245,49,100000,104,married,"management,secondary",yes,no,yes,no,unknown,8,"may, 2017",285 sec,1,-1,0,unknown,no
1246,26,20000,318,single,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",101 sec,1,-1,0,unknown,no
1247,35,60000,2151,single,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",294 sec,1,-1,0,unknown,no
1248,49,70000,-8,married,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",1119 sec,1,-1,0,unknown,yes
1249,44,20000,185,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",249 sec,1,-1,0,unknown,no
1250,41,100000,1773,married,"management,tertiary",yes,no,no,no,unknown,8,"may, 2017",106 sec,1,-1,0,unknown,no
1251,50,20000,40,married,"blue-collar,primary",yes,no,yes,no,unknown,8,"may, 2017",152 sec,1,-1,0,unknown,no
1252,58,55000,44,married,"retired,tertiary",yes,no,yes,no,unknown,8,"may, 2017",12 sec,2,-1,0,unknown,no
1253,43,20000,0,married,"blue-collar,secondary",yes,no,yes,no,unknown,8,"may, 2017",187 sec,1,-1,0,unknown,no
1254,34,100000,0,married,"management,tertiary",yes,no,yes,no,unknown,8,"may, 2017",214 sec,2,-1,0,unknown,no
1255,57,50000,3058,divorced,"admin.,secondary",yes,no,yes,no,unknown,8,"may, 2017",268 sec,1,-1,0,unknown,no
1256,43,70000,130,divorced,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",193 sec,1,-1,0,unknown,no
1257,38,70000,507,married,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",95 sec,1,-1,0,unknown,no
1258,35,60000,844,married,"self-employed,tertiary",yes,no,yes,no,unknown,8,"may, 2017",60 sec,1,-1,0,unknown,no
1259,49,50000,458,married,"admin.,primary",yes,no,yes,no,unknown,8,"may, 2017",381 sec,1,-1,0,unknown,no
1260,33,20000,-744,married,"blue-collar,primary",yes,yes,yes,no,unknown,8,"may, 2017",206 sec,1,-1,0,unknown,no
1261,60,55000,-2,married,"retired,primary",yes,no,yes,no,unknown,8,"may, 2017",75 sec,1,-1,0,unknown,no
1262,33,60000,129,single,"technician,tertiary",no,no,yes,no,unknown,8,"may, 2017",128 sec,1,-1,0,unknown,no
1263,33,70000,411,divorced,"services,secondary",yes,no,yes,no,unknown,8,"may, 2017",216 sec,1,-1,0,unknown,no
1264,47,100000,643,married,"management,tertiary",yes,no,yes,no,unknown,8,"may, 2017",155 sec,1,-1,0,unknown,no
1265,37,60000,391,single,"technician,unknown",no,no,yes,no,unknown,8,"may, 2017",103 sec,3,-1,0,unknown,no
1266,34,20000,80,married,"blue-collar,secondary",yes,no,yes,yes,unknown,8,"may, 2017",494 sec,1,-1,0,unknown,no
1267,32,60000,10,single,"technician,secondary",yes,no,yes,no,unknown,8,"may, 2017",107 sec,1,-1,0,unknown,no
